year,mean_tmax,mean_tmin,2553,2554,2555,2556,8122,8126
1981,8.733333333333333,4.216666666666667,0.3783783783783784,0.9073950699533644,0.1954610506018288,0.8878387611022546,0.8847926267281107,0.29395973154362426
1982,9.566666666666666,5.083333333333333,0.722972972972973,0.8927381745502998,0.21809704584143053,0.80539740378046,0.7680491551459295,0.33154362416107386
1983,9.258333333333333,4.791666666666667,0.5844594594594594,0.5545192094159449,0.21798406170440346,0.5442951491687543,0.5069124423963135,0.312751677852349
1990,9.866666666666667,5.458333333333333,0.5101351351351351,1,0.6166448230668414,0.26372124800728763,0.16589861751152082,0.916778523489933
1991,9.716666666666667,5.383333333333334,0.4358108108108108,0.9253830779480346,0.5943492866934815,0.20769756319744934,0.11213517665130576,0.8671140939597315
1992,9.833333333333334,5.25,0.6655405405405406,0.49256051521208066,0.4322878534520421,0.2332042814848554,0.13517665130568365,0.6496644295302014
1993,8.816666666666666,4.616666666666666,0.6790540540540541,0.44770153231179205,0.504551001039454,0.15805055795946255,0.05529953917050694,0.7436241610738256
1994,9.158333333333333,4.616666666666667,0.6486486486486487,0.22385076615589602,0.5126918847260512,0.1671601002049647,0.06605222734255,0.7436241610738256
1995,9.241666666666667,4.675,0.8277027027027027,0.4179435931601153,0.4756511652430665,0.16852653154179004,0.05529953917050694,0.6966442953020135
1996,9.058333333333334,4.925,0.7398648648648649,0.46280257606040426,0.6023726668775704,0.11341380095650194,0,0.868456375838926
1997,10.033333333333333,5.725,0.9493243243243243,0.3730846102598267,0.669995932571067,0.2345707128216807,0.13978494623655918,1
1998,9.475,5.341666666666667,0.9054054054054054,0.507439484787919,0.615377894276977,0.1270781143247552,0.01996927803379423,0.9463087248322147
1999,9.525,5.45,1,0.40306462358427725,0.5413160392280925,0.11386927806877704,0.007680491551459294,0.7946308724832213
