id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,year,population,binomial,max_year,min_year,lengthyear,pop_trend
1662,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Norway,Norway,Europe,66.0525,12.54472,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,1970,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
1663,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Ireland,Ireland,Europe,51.60472,-10.13,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,1970,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
1664,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,France Atlantic,France,Europe,48.37222,-4.72417,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,1970,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
1665,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,United Kingdom,United Kingdom,Europe,52.87611,-1.26583,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,1970,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
1657,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"RíŸst, Norway",Norway,Europe,67.51667,12.11667,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Unknown,Unknown,No,1979,13e5,Fratercula_arctica,2008,1970,38,1
8122,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Rost islands,Norway,Europe,67.51667,12.11667,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,1979,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
2556,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Hernyken, RíŸst, Nordland",Norway,Europe,67.426421,11.880602,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,1979,119700,Fratercula_arctica,2008,1970,38,0.09207650403530955
2555,"Lorentsen, S. H. and S. Christensen-Dalsgaard (2009). The national monitoring programme for seabirds. Results up to and including 2008. NINA Oppdragsmelding 852: 58pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"HorníŸy, VardíŸ, Finnmark",Norway,Europe,70.38333,31.15,TRUE,Marine,Unknown,Arctic,Yes,No,No,Population in % of mean,Apparently occupied nests,No,1980,59.3092,Fratercula_arctica,2008,1970,38,4.516094392043566e-5
8126,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Hornoya island, Vardo",Norway,Europe,70.36667,31.03333,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,1980,100,Fratercula_arctica,2008,1970,38,7.646157375149559e-5
8122,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Rost islands,Norway,Europe,67.51667,12.11667,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,1980,87.3,Fratercula_arctica,2008,1970,38,6.669233847338699e-5
2553,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Runde, HeríŸy, MíŸre og Romsdal",Norway,Europe,62.35,5.53333,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,1980,503,Fratercula_arctica,2008,1970,38,3.864617168284847e-4
2556,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Hernyken, RíŸst, Nordland",Norway,Europe,67.426421,11.880602,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,1980,104800,Fratercula_arctica,2008,1970,38,0.08061496028382782
